payment_unique_id,order_id,payment_method,amount,transaction_status,source_store
c4ca4238a0b923820dcc509a6f75849b,1,Credit Card,232.15,Completed,old store
c81e728d9d4c2f636f067f89cc14862c,2,Credit Card,454.44,Completed,old store
eccbc87e4b5ce2fe28308fd9f2a7baf3,3,Credit Card,26.14,Completed,old store
a87ff679a2f3e71d9181a67b7542122c,4,Credit Card,985.7,Completed,old store
e4da3b7fbbce2345d7772b0674a318d5,5,Credit Card,733.32,Completed,old store
1679091c5a880faf6fb5e6087eb1b2dc,6,Credit Card,629.36,Completed,old store
8f14e45fceea167a5a36dedd4bea2543,7,Credit Card,461.51,Completed,old store
c9f0f895fb98ab9159f51fd0297e236d,8,Credit Card,464.73,Completed,old store
45c48cce2e2d7fbdea1afc51c7c6ad26,9,Credit Card,351.12,Completed,old store
d3d9446802a44259755d38e6d163e820,10,Credit Card,480.13,Completed,old store
6512bd43d9caa6e02c990b0a82652dca,11,Credit Card,623.76,Completed,old store
c20ad4d76fe97759aa27a0c99bff6710,12,Credit Card,916.1,Completed,old store
c51ce410c124a10e0db5e4b97fc2af39,13,Credit Card,432.81,Completed,old store
aab3238922bcc25a6f606eb525ffdc56,14,Credit Card,78.33,Completed,old store
9bf31c7ff062936a96d3c8bd1f8f2ff3,15,Credit Card,2.14,Completed,old store
c74d97b01eae257e44aa9d5bade97baf,16,Credit Card,994.2,Completed,old store
70efdf2ec9b086079795c442636b55fb,17,Credit Card,121.68,Completed,old store
6f4922f45568161a8cdf4ad2299f6d23,18,Credit Card,585.28,Completed,old store
1f0e3dad99908345f7439f8ffabdffc4,19,Credit Card,435.68,Completed,old store
98f13708210194c475687be6106a3b84,20,Credit Card,138.48,Completed,old store
3c59dc048e8850243be8079a5c74d079,21,Credit Card,230.95,Completed,old store
b6d767d2f8ed5d21a44b0e5886680cb9,22,Credit Card,326.04,Completed,old store
37693cfc748049e45d87b8c7d8b9aacd,23,Credit Card,25.68,Completed,old store
1ff1de774005f8da13f42943881c655f,24,Credit Card,75.72,Completed,old store
8e296a067a37563370ded05f5a3bf3ec,25,Credit Card,244.1,Completed,old store
4e732ced3463d06de0ca9a15b6153677,26,Credit Card,7.71,Completed,old store
02e74f10e0327ad868d138f2b4fdd6f0,27,Credit Card,355.8,Completed,old store
33e75ff09dd601bbe69f351039152189,28,Credit Card,908.2,Completed,old store
6ea9ab1baa0efb9e19094440c317e21b,29,Credit Card,245.15,Completed,old store
34173cb38f07f89ddbebc2ac9128303f,30,Credit Card,128.52,Completed,old store
c16a5320fa475530d9583c34fd356ef5,31,Credit Card,976.0,Completed,old store
6364d3f0f495b6ab9dcf8d3b5c6e0b01,32,Credit Card,731.79,Completed,old store
182be0c5cdcd5072bb1864cdee4d3d6e,33,Credit Card,84.24,Completed,old store
e369853df766fa44e1ed0ff613f563bd,34,Credit Card,781.74,Completed,old store
1c383cd30b7c298ab50293adfecb7b18,35,Credit Card,237.45,Completed,old store
19ca14e7ea6328a42e0eb13d585e4c22,36,Credit Card,584.16,Completed,old store
a5bfc9e07964f8dddeb95fc584cd965d,37,Credit Card,349.68,Completed,old store
a5771bce93e200c36f7cd9dfd0e5deaa,38,Credit Card,64.23,Completed,old store
d67d8ab4f4c10bf22aa353e27879133c,39,Credit Card,947.8,Completed,old store
d645920e395fedad7bbbed0eca3fe2e0,40,Credit Card,134.12,Completed,old store
3416a75f4cea9109507cacd8e2f2aefc,41,Credit Card,636.24,Completed,old store
a1d0c6e83f027327d8461063f4ac58a6,42,Credit Card,143.52,Completed,old store
17e62166fc8586dfa4d1bc0e1742c08b,43,Credit Card,211.45,Completed,old store
f7177163c833dff4b38fc8d2872f1ec6,44,Credit Card,620.32,Completed,old store
6c8349cc7260ae62e3b1396831a8398f,45,Credit Card,444.29,Completed,old store
d9d4f495e875a2e075a1a4a6e1b9770f,46,Credit Card,307.74,Completed,old store
67c6a1e7ce56d3d6fa748ab6d9af3fd7,47,Credit Card,7.86,Completed,old store
642e92efb79421734881b53e1e1b18b6,48,Credit Card,67.95,Completed,old store
f457c545a9ded88f18ecee47145a72c0,49,Credit Card,0.48,Completed,old store
c0c7c76d30bd3dcaefc96f40275bdc0a,50,Credit Card,244.05,Completed,old store
2838023a778dfaecdc212708f721b788,51,Credit Card,140.2,Completed,old store
9a1158154dfa42caddbd0694a4e9bdc8,52,Credit Card,1.38,Completed,old store
d82c8d1619ad8176d665453cfb2e55f0,53,Credit Card,334.5,Completed,old store
a684eceee76fc522773286a895bc8436,54,Credit Card,87.93,Completed,old store
b53b3a3d6ab90ce0268229151c9bde11,55,Credit Card,343.26,Completed,old store
9f61408e3afb633e50cdf1b20de6f466,56,Credit Card,36.98,Completed,old store
72b32a1f754ba1c09b3695e0cb6cde7f,57,Credit Card,31.78,Completed,old store
66f041e16a60928b05a7e228a89c3799,58,Credit Card,73.86,Completed,old store
093f65e080a295f8076b1c5722a46aa2,59,Credit Card,65.88,Completed,old store
072b030ba126b2f4b2374f342be9ed44,60,Credit Card,143.28,Completed,old store
7f39f8317fbdb1988ef4c628eba02591,61,Credit Card,22.22,Completed,old store
44f683a84163b3523afe57c2e008bc8c,62,Credit Card,561.04,Completed,old store
03afdbd66e7929b125f8597834fa83a4,63,Credit Card,980.7,Completed,old store
ea5d2f1c4608232e07d3aa3d998e5135,64,Credit Card,74.61,Completed,old store
fc490ca45c00b1249bbe3554a4fdf6fb,65,Credit Card,35.3,Completed,old store
3295c76acbf4caaed33c36b1b5fc2cb1,66,Credit Card,797.58,Completed,old store
735b90b4568125ed6c3f678819b6e058,67,Credit Card,135.08,Completed,old store
a3f390d88e4c41f2747bfa2f1b5f87db,68,Credit Card,948.4,Completed,old store
14bfa6bb14875e45bba028a21ed38046,69,Credit Card,329.58,Completed,old store
7cbbc409ec990f19c78c75bd1e06f215,70,Credit Card,614.88,Completed,old store
e2c420d928d4bf8ce0ff2ec19b371514,71,Credit Card,62.07,Completed,old store
32bb90e8976aab5298d5da10fe66f21d,72,Credit Card,247.3,Completed,old store
d2ddea18f00665ce8623e36bd4e3c7c5,73,Credit Card,568.24,Completed,old store
ad61ab143223efbc24c7d2583be69251,74,Credit Card,771.84,Completed,old store
d09bf41544a3365a46c9077ebb5e35c3,75,Credit Card,20.56,Completed,old store
fbd7939d674997cdb4692d34de8633c4,76,Credit Card,134.24,Completed,old store
28dd2c7955ce926456240b2ff0100bde,77,Credit Card,241.55,Completed,old store
35f4a8d465e6e1edc05f3d8ab658c551,78,Credit Card,33.92,Completed,old store
d1fe173d08e959397adf34b1d77e88d7,79,Credit Card,5.82,Completed,old store
f033ab37c30201f73f142449d037028d,80,Credit Card,620.56,Completed,old store
43ec517d68b6edd3015b3edc9a11367b,81,Credit Card,73.5,Completed,old store
9778d5d219c5080b9a6a17bef029331c,82,Credit Card,238.4,Completed,old store
fe9fc289c3ff0af142b6d3bead98a923,83,Credit Card,7.99,Completed,old store
68d30a9594728bc39aa24be94b319d21,84,Credit Card,143.44,Completed,old store
3ef815416f775098fe977004015c6193,85,Credit Card,81.03,Completed,old store
93db85ed909c13838ff95ccfa94cebd9,86,Credit Card,931.2,Completed,old store
c7e1249ffc03eb9ded908c236bd1996d,87,Credit Card,626.4,Completed,old store
2a38a4a9316c49e5a833517c45d31070,88,Credit Card,347.28,Completed,old store
7647966b7343c29048673252e490f736,89,Credit Card,36.1,Completed,old store
8613985ec49eb8f757ae6439e879bb2a,90,Credit Card,37.38,Completed,old store
54229abfcfa5649e7003b83dd4755294,91,Credit Card,569.84,Completed,old store
92cc227532d17e56e07902b254dfad10,92,Credit Card,80.04,Completed,old store
98dce83da57b0395e163467c9dae521b,93,Credit Card,219.05,Completed,old store
f4b9ec30ad9f68f89b29639786cb62ef,94,Credit Card,137.36,Completed,old store
812b4ba287f5ee0bc9d43bbf5bbe87fb,95,Credit Card,78.3,Completed,old store
26657d5ff9020d2abefe558796b99584,96,Credit Card,25.96,Completed,old store
e2ef524fbf3d9fe611d5a8e90fefdc9c,97,Credit Card,724.77,Completed,old store
ed3d2c21991e3bef5e069713af9fa6ca,98,Credit Card,319.86,Completed,old store
ac627ab1ccbdb62ec96e702f07f6425b,99,Credit Card,488.67,Completed,old store
f899139df5e1059396431415e770c6dd,100,Credit Card,30.12,Completed,old store
38b3eff8baf56627478ec76a704e9b52,101,Credit Card,1.7,Completed,old store
ec8956637a99787bd197eacd77acce5e,102,Credit Card,976.8,Completed,old store
6974ce5ac660610b44d9b9fed0ff9548,103,Credit Card,68.85,Completed,old store
c9e1074f5b3f9fc8ea15d152add07294,104,Credit Card,152.64,Completed,old store
65b9eea6e1cc6bb9f0cd2a47751a186f,105,Credit Card,993.2,Completed,old store
f0935e4cd5920aa6c7c996a5ee53a70f,106,Credit Card,65.46,Completed,old store
a97da629b098b75c294dffdc3e463904,107,Credit Card,470.54,Completed,old store
a3c65c2974270fd093ee8a9bf8ae7d0b,108,Credit Card,438.69,Completed,old store
2723d092b63885e0d7c260cc007e8b9d,109,Credit Card,566.24,Completed,old store
5f93f983524def3dca464469d2cf9f3e,110,Credit Card,61.86,Completed,old store
698d51a19d8a121ce581499d7b701668,111,Credit Card,70.68,Completed,old store
7f6ffaa6bb0b408017b62254211691b5,112,Credit Card,201.65,Completed,old store
73278a4a86960eeb576a8fd4c9ec6997,113,Credit Card,210.7,Completed,old store
5fd0b37cd7dbbb00f97ba6ce92bf5add,114,Credit Card,944.8,Completed,old store
2b44928ae11fb9384c4cf38708677c48,115,Credit Card,125.52,Completed,old store
c45147dee729311ef5b5c3003946c48f,116,Credit Card,82.32,Completed,old store
eb160de1de89d9058fcb0b968dbbbd68,117,Credit Card,745.92,Completed,old store
5ef059938ba799aaa845e1c2e8a762bd,118,Credit Card,154.52,Completed,old store
07e1cd7dca89a1678042477183b7ac3f,119,Credit Card,76.41,Completed,old store
da4fb5c6e93e74d3df8527599fa62642,120,Credit Card,67.56,Completed,old store
4c56ff4ce4aaf9573aa5dff913df997a,121,Credit Card,207.75,Completed,old store
a0a080f42e6f13b3a2df133f073095dd,122,Credit Card,149.4,Completed,old store
202cb962ac59075b964b07152d234b70,123,Credit Card,421.47,Completed,old store
