unified_product_id,product_name,description,category,price,supplier_id,rating_rate,source_store,updated_at
de6d66e859e605be6446d98d7a654e4b,Document Scanner,This is a Document Scanner in the category Electronics,Electronics,940.02,503.0,,old store,
8f01062fb178eb418227b16ab5cf9c61,External SSD,This is a External SSD in the category Electronics,Electronics,522.82,508.0,,old store,
eada160f96ffa57c884ab8fa8ede874f,Computer Speakers,This is a Computer Speakers in the category Electronics,Electronics,20.36,509.0,,old store,
a08f8ebbfbe1cb45485ceb36a37bdaa4,Gaming Keyboard,This is a Gaming Keyboard in the category Electronics,Electronics,776.2,510.0,,old store,
02c250edcc0cc7399b6cd06bd4bad93d,Mechanical Keyboard,This is a Mechanical Keyboard in the category Electronics,Electronics,931.97,516.0,,old store,
bbcbdfb948096273ce788939d9444878,Wireless Mouse,This is a Wireless Mouse in the category Electronics,Electronics,358.27,520.0,,old store,
7035841b16a55f0aee541882b9cf72c2,Power Strip,This is a Power Strip in the category Electronics,Electronics,277.62,521.0,,old store,
2ec7a21aa1ce69954f8e08ac48c6f61c,Microphone,This is a Microphone in the category Electronics,Electronics,648.71,522.0,,old store,
e39da5e85fd09352e7c94dc16ea8b443,Bluetooth Headphones,This is a Bluetooth Headphones in the category Electronics,Electronics,640.9,525.0,,old store,
4208c29249de975f3c03b6d06a89a8fc,Noise Cancelling Headset,This is a Noise Cancelling Headset in the category Electronics,Electronics,345.18,526.0,,old store,
9ecc9e155c8fbfe80c844e82a9209d42,Smart Watch,This is a Smart Watch in the category Electronics,Electronics,824.9,527.0,,old store,
13798064d3bdb3f9fe803726d1d92972,WiFi Router,This is a WiFi Router in the category Electronics,Electronics,148.6,533.0,,old store,
8aeae837f065bdf77e2fc60bee4ddd07,Wireless Charger,This is a Wireless Charger in the category Electronics,Electronics,545.44,538.0,,old store,
0d6e866679d8786f448320cfb79b5ff2,Wireless Presenter,This is a Wireless Presenter in the category Electronics,Electronics,845.76,539.0,,old store,
1cfdaddf916dd23c777deb1acbe654ee,USB-C Hub,This is a USB-C Hub in the category Electronics,Electronics,786.96,540.0,,old store,
4eda21747666fd1095d546e3ce655068,Wireless Earbuds,This is a Wireless Earbuds in the category Electronics,Electronics,510.93,541.0,,old store,
1b65197af03698832a8b3dc3f24bb974,4K Monitor,This is a 4K Monitor in the category Electronics,Electronics,715.55,546.0,,old store,
f3abe1c0af1c2f70aae7d30aa478e96c,Webcam HD,This is a Webcam HD in the category Electronics,Electronics,6.19,549.0,,old store,
78bf20d398f624cc5be4d7ea27f20a57,Document Scanner,This is a Document Scanner in the category Electronics,Electronics,241.3,553.0,,old store,
69d856749177acbd2a30108ce47cf5dc,External SSD,This is a External SSD in the category Electronics,Electronics,234.44,558.0,,old store,
3f16053954d5aee4d9ee3f551cf2100b,Computer Speakers,This is a Computer Speakers in the category Electronics,Electronics,974.96,559.0,,old store,
9cf73a7eeec4849788966355ae28b872,Gaming Keyboard,This is a Gaming Keyboard in the category Electronics,Electronics,716.78,560.0,,old store,
30683208c9d2d15cec44143a2a54da8e,Mechanical Keyboard,This is a Mechanical Keyboard in the category Electronics,Electronics,620.87,566.0,,old store,
f0b96e0da5dbeaabe57fc5f662738413,Wireless Mouse,This is a Wireless Mouse in the category Electronics,Electronics,405.55,570.0,,old store,
2d95128edc763ecd05b9071d545926aa,Power Strip,This is a Power Strip in the category Electronics,Electronics,278.21,571.0,,old store,
b51f392d3d8cea4e4d22efbc6b081d1b,Microphone,This is a Microphone in the category Electronics,Electronics,40.52,572.0,,old store,
dff68fc8da01df033a020b15776c5847,Bluetooth Headphones,This is a Bluetooth Headphones in the category Electronics,Electronics,476.96,575.0,,old store,
0e1a6fd4ee77209da27d7b768330faac,Noise Cancelling Headset,This is a Noise Cancelling Headset in the category Electronics,Electronics,622.66,576.0,,old store,
5430229422da646f30e9bbdba4388a49,Smart Watch,This is a Smart Watch in the category Electronics,Electronics,343.71,577.0,,old store,
464e8a83e02c0947c81cfd4dfec620d8,WiFi Router,This is a WiFi Router in the category Electronics,Electronics,42.22,583.0,,old store,
eb647885398384f94c2f033817ec4528,Wireless Charger,This is a Wireless Charger in the category Electronics,Electronics,666.66,588.0,,old store,
75e867347c45233160b667ec9a901e71,Wireless Presenter,This is a Wireless Presenter in the category Electronics,Electronics,244.38,589.0,,old store,
2b0ab6e1b961b77795ab691474f4c261,USB-C Hub,This is a USB-C Hub in the category Electronics,Electronics,402.24,590.0,,old store,
8f240067021025545d9cd929b8fe6529,Wireless Earbuds,This is a Wireless Earbuds in the category Electronics,Electronics,20.87,591.0,,old store,
c183e42a590ac2b7807dd1d68deffc74,4K Monitor,This is a 4K Monitor in the category Electronics,Electronics,619.95,596.0,,old store,
4ac4081549396d353876e7701c25e833,Webcam HD,This is a Webcam HD in the category Electronics,Electronics,768.22,599.0,,old store,
aaddc6cc396fd4c97d3add49d6107345,Document Scanner,This is a Document Scanner in the category Electronics,Electronics,861.71,503.0,,old store,
16c5dee35e6aa504bd020930d521c814,External SSD,This is a External SSD in the category Electronics,Electronics,37.16,508.0,,old store,
966a45e7b2092b3359589cc7357c8d32,Computer Speakers,This is a Computer Speakers in the category Electronics,Electronics,55.02,509.0,,old store,
