order_item_unique_id,order_id,unified_product_id,quantity,price_at_purchase,source_store
c4ca4238a0b923820dcc509a6f75849b,6550,24759c9e19da77645f9d930c49e3e89d,1,342.92,old store
c81e728d9d4c2f636f067f89cc14862c,7324,3a6df9096d1663e921a05164676e70b9,1,955.86,old store
eccbc87e4b5ce2fe28308fd9f2a7baf3,11952,1dc65bb00b25759cafdee4e0802a9ee0,1,909.45,old store
a87ff679a2f3e71d9181a67b7542122c,8938,f507363c659d9f5886d290093801c0cd,1,984.91,old store
e4da3b7fbbce2345d7772b0674a318d5,4238,9d6fb10e1606c5d74efdc4dd5c02648a,1,649.18,old store
1679091c5a880faf6fb5e6087eb1b2dc,14235,a7a34a1dbb11a7914cc78f5c21691643,1,695.76,old store
8f14e45fceea167a5a36dedd4bea2543,10944,d55cf88e5682e42f84e3ebb3e17edd30,1,54.83,old store
c9f0f895fb98ab9159f51fd0297e236d,11075,23c4743ffd0baff7946aa16fb29b1afb,1,320.24,old store
45c48cce2e2d7fbdea1afc51c7c6ad26,13842,2556df5987e99c83f63939dde90fa5e3,1,555.05,old store
d3d9446802a44259755d38e6d163e820,1126,2cd1c9610847c0ee9087076d49432786,1,308.21,old store
6512bd43d9caa6e02c990b0a82652dca,9699,310e3f7633953154ddee52d5af4f0580,1,901.42,old store
c20ad4d76fe97759aa27a0c99bff6710,3682,95c9d892be42bf77520ba6988d240b15,1,350.74,old store
c51ce410c124a10e0db5e4b97fc2af39,8310,1dfd22ec17f354800bbdc17b02bf52d0,1,957.72,old store
aab3238922bcc25a6f606eb525ffdc56,6084,e11abb9a8682c5a8867083326b35a3d9,1,934.52,old store
9bf31c7ff062936a96d3c8bd1f8f2ff3,3161,ba0767b0b9a5f5abaced046d6457e33e,1,488.16,old store
c74d97b01eae257e44aa9d5bade97baf,57,3a8ba51fa0a919e9f665d2d02a4d5e5a,1,388.08,old store
70efdf2ec9b086079795c442636b55fb,10706,5dafec4f363657e1ac4902f18d0a8ca1,1,321.96,old store
6f4922f45568161a8cdf4ad2299f6d23,11179,a909d357d86cadefb0e7ea92ebb440b9,1,24.32,old store
1f0e3dad99908345f7439f8ffabdffc4,9585,e2a21429ba0c6c99cb87c9c2c5812c90,1,477.31,old store
98f13708210194c475687be6106a3b84,7661,2659ee665c81082dd4b0f088458d0219,1,53.1,old store
3c59dc048e8850243be8079a5c74d079,1860,b34c424bc6797f36fe62c22148416236,1,42.33,old store
b6d767d2f8ed5d21a44b0e5886680cb9,9492,c0bd1b63b0e1e3a304baa8c0453eaf89,1,43.54,old store
37693cfc748049e45d87b8c7d8b9aacd,10454,64b663050b2ab16fcf41c5aac15959d9,1,487.57,old store
1ff1de774005f8da13f42943881c655f,2853,fa837b518d4f90945a4da5284156c118,1,44.45,old store
8e296a067a37563370ded05f5a3bf3ec,51,1ce3068750c58b49e6774cefa31bc06f,1,735.84,old store
4e732ced3463d06de0ca9a15b6153677,8481,b8509ab601cb80ec44a580a62f8dc67e,1,186.87,old store
02e74f10e0327ad868d138f2b4fdd6f0,11997,a0a9758a443430fd7fc874a5759116d0,1,620.96,old store
33e75ff09dd601bbe69f351039152189,6792,1005b3420537fc16abd487f4d51b98c8,1,812.89,old store
6ea9ab1baa0efb9e19094440c317e21b,8684,42abd61f139da4e0cdf60ee2fff55296,1,26.87,old store
34173cb38f07f89ddbebc2ac9128303f,12854,cc662f18dc3aeadc77ce5d65de39e2b6,1,827.86,old store
c16a5320fa475530d9583c34fd356ef5,7249,e81f40742fd9ae3009e826483cb88a36,1,333.81,old store
6364d3f0f495b6ab9dcf8d3b5c6e0b01,9279,3890ad5f6bfa5c561d321b329170d046,1,241.51,old store
182be0c5cdcd5072bb1864cdee4d3d6e,6558,87aba450ee3bcc60c80f38909c9d7ec8,1,316.05,old store
e369853df766fa44e1ed0ff613f563bd,5292,e96ac5640dcbbaa5a408596a38f05d75,1,123.95,old store
1c383cd30b7c298ab50293adfecb7b18,7221,49f5047e482f79072cf375b63f09c773,1,782.15,old store
