order_id,unified_customer_id,total_price,order_date
914,d55cf88e5682e42f84e3ebb3e17edd30,338.1,2024-03-01
11193,d55cf88e5682e42f84e3ebb3e17edd30,758.6,2024-05-02
8099,942714a0e77b6d95082d5ec5482ecb75,4378.05,2024-05-22
9066,de6d66e859e605be6446d98d7a654e4b,3177.2,2024-07-10
9944,e326bde9b8f77e62667a934156911bfa,670.56,2024-06-02
6894,f3651389a9847734ecd7c3affa58ccef,6153.8,2023-12-06
13420,f3651389a9847734ecd7c3affa58ccef,3513.42,2024-07-24
3767,ee5a126a797d5fe2176d311e5050d982,1780.22,2024-03-22
12064,ee5a126a797d5fe2176d311e5050d982,778.15,2024-06-24
8986,ec20ecf76daa897ae7760de430138465,354.92,2024-06-06
11215,ec20ecf76daa897ae7760de430138465,3660.08,2024-01-31
6030,8f01062fb178eb418227b16ab5cf9c61,1650.96,2024-04-19
9409,eada160f96ffa57c884ab8fa8ede874f,1014.8,2024-07-30
2422,a08f8ebbfbe1cb45485ceb36a37bdaa4,200.54,2024-02-23
1369,79ab394159339472b88768e4c88463ed,702.75,2024-02-25
7591,31a0f06a5953a44c9c109ea8323cce26,2217.84,2024-09-27
10924,31a0f06a5953a44c9c109ea8323cce26,4979.97,2024-08-19
2304,11bb470017d1048aa92a85e98f972b68,1275.84,2024-08-22
5064,8e6b04880a6bb266cbb08fbb39d6a5c1,7724.88,2024-01-28
12229,8e6b04880a6bb266cbb08fbb39d6a5c1,7127.09,2023-12-03
3209,4223337f35ab2ad49af75b73a455d862,463.78,2024-10-28
8541,02c250edcc0cc7399b6cd06bd4bad93d,3352.32,2024-01-04
14099,02c250edcc0cc7399b6cd06bd4bad93d,8871.8,2024-10-23
1107,d4de189453619398db30931efda2537a,649.72,2024-10-30
510,ec43118c2faeaa2a1dcb470c1f8986e6,3430.04,2024-07-22
8169,4fa8d1a5473f9faffd174c3e59b54779,716.13,2024-06-09
9829,bbcbdfb948096273ce788939d9444878,408.6,2024-01-02
3857,7035841b16a55f0aee541882b9cf72c2,1946.55,2024-08-25
10751,7035841b16a55f0aee541882b9cf72c2,431.0,2024-08-18
6903,2ec7a21aa1ce69954f8e08ac48c6f61c,662.76,2024-08-27
12987,2ec7a21aa1ce69954f8e08ac48c6f61c,3226.52,2024-06-27
5086,e7d2ab9b2024a6d578a848a8aac206eb,685.2,2024-05-23
3573,3fef12bb6af34b93e793877fadb078bf,80.2,2024-09-15
14114,3fef12bb6af34b93e793877fadb078bf,6346.1,2023-12-06
5222,e39da5e85fd09352e7c94dc16ea8b443,58.87,2024-09-18
11041,e39da5e85fd09352e7c94dc16ea8b443,2431.34,2024-10-07
970,4208c29249de975f3c03b6d06a89a8fc,2070.8,2024-06-03
2121,9ecc9e155c8fbfe80c844e82a9209d42,663.22,2024-08-18
7589,2b2d1e9cbad4905c17557f2bff019dfa,990.84,2024-10-20
5317,8882d51657d7e3f17431c4168503696a,1974.45,2024-09-17
10551,8882d51657d7e3f17431c4168503696a,5304.51,2024-06-09
7308,36e23d5f1b4d28dda14de4b950594b67,2383.6,2024-07-15
3399,061c54c3a83f4ebae73241b8e9ea81b1,2128.32,2024-07-03
12864,061c54c3a83f4ebae73241b8e9ea81b1,767.41,2024-05-27
900,85a700f0a74b90a3b6949b5f015bbc92,3879.4,2024-01-17
11985,85a700f0a74b90a3b6949b5f015bbc92,8777.2,2023-11-19
5682,13798064d3bdb3f9fe803726d1d92972,5882.8,2024-05-17
4297,cdb1a62cdf2b3349c5e99f3762864ba7,1739.47,2024-01-02
13059,cdb1a62cdf2b3349c5e99f3762864ba7,1379.5,2024-06-06
6438,5883ae487da0d1ad3a262b73d9afaedf,4158.66,2024-05-29
5688,d53e5c6ca1831a2c49d3c8ce80215bd1,8541.4,2024-01-03
11790,d53e5c6ca1831a2c49d3c8ce80215bd1,5376.4,2024-08-20
7580,c858181f6ecefb6597317dcb733b0010,2000.15,2024-06-28
1485,8aeae837f065bdf77e2fc60bee4ddd07,1793.44,2024-04-24
3218,0d6e866679d8786f448320cfb79b5ff2,223.16,2023-12-21
6303,1cfdaddf916dd23c777deb1acbe654ee,1265.22,2024-03-11
6466,4eda21747666fd1095d546e3ce655068,2272.48,2023-12-24
13173,4eda21747666fd1095d546e3ce655068,3997.55,2024-01-31
3507,f7b58404975375b8624dc05accbbbf3c,1509.24,2024-02-24
14403,2f07584e0dc728d2641a3c5f70dc573d,3894.2,2024-08-27
5769,2f07584e0dc728d2641a3c5f70dc573d,1842.33,2024-03-23
9267,ef3ba57565e686dfe73f59091070b0d4,518.12,2024-08-21
9171,2bd0b03fa35d0136c8beb2fb24e7bc95,4050.65,2024-09-07
9874,1b65197af03698832a8b3dc3f24bb974,924.76,2024-05-12
3402,996a108abfe5e9565be177106011f6e5,2645.07,2024-03-31
10821,996a108abfe5e9565be177106011f6e5,5892.48,2024-09-08
8094,4a8af47baa409449ae0276902a778d32,3294.81,2023-12-22
3674,f3abe1c0af1c2f70aae7d30aa478e96c,1135.26,2024-10-12
14519,f3abe1c0af1c2f70aae7d30aa478e96c,3434.36,2024-05-30
3056,03518bc0c3d7b125f457933aefcf36e7,2671.35,2023-12-22
14223,03518bc0c3d7b125f457933aefcf36e7,579.99,2023-11-06
7214,6d104d823952f53ced4d489a237480c2,4588.08,2023-11-24
14526,6d104d823952f53ced4d489a237480c2,419.23,2024-04-06
9383,28d3ea5a4fda596fe840c9aa50bd9936,4439.7,2024-06-10
3245,78bf20d398f624cc5be4d7ea27f20a57,3728.2,2024-05-19
14429,78bf20d398f624cc5be4d7ea27f20a57,665.56,2024-06-28
2120,0daef219d9361a1944717d6f26a623b7,3324.93,2024-02-24
9550,d6279b4b0ce399241edd79063caf72b7,3034.5,2024-02-08
12750,d6279b4b0ce399241edd79063caf72b7,1775.88,2024-06-22
5863,3fdc8b382d87970009c3a1a2e225673e,3081.6,2024-02-12
13579,3fdc8b382d87970009c3a1a2e225673e,761.5,2024-07-11
9582,b77557acef08f03b0069bb09987330bc,95.8,2024-02-23
13222,b77557acef08f03b0069bb09987330bc,871.23,2024-09-30
1260,69d856749177acbd2a30108ce47cf5dc,884.7,2024-05-23
1550,3f16053954d5aee4d9ee3f551cf2100b,4315.68,2024-08-28
5858,9cf73a7eeec4849788966355ae28b872,2719.45,2024-04-24
7958,e82075c28beb33c8953d39fa4bab96c0,1078.82,2024-08-23
12916,e82075c28beb33c8953d39fa4bab96c0,1012.78,2024-06-29
4508,31ac25331495b4c84e73974c14b362e1,865.8,2024-03-20
11291,31ac25331495b4c84e73974c14b362e1,5244.64,2023-12-23
3882,a92d4e0e9de399d4440c046a633229d3,5060.82,2024-02-18
895,63e3043bd94f5a7b6badc5718f079cc0,4789.04,2024-02-26
11378,63e3043bd94f5a7b6badc5718f079cc0,49.48,2024-08-20
8902,b9b5dc389b21c49ba7d3208c64d2508e,3614.52,2024-09-11
5743,30683208c9d2d15cec44143a2a54da8e,5390.28,2024-08-22
8582,886dcb5eb12358ad64f72aa1d87bcd4a,2566.3,2024-01-09
14683,886dcb5eb12358ad64f72aa1d87bcd4a,2014.51,2024-04-14
1180,f8b165a982948cd0e997172477ae36e8,313.66,2024-03-20
11297,f8b165a982948cd0e997172477ae36e8,6579.37,2024-01-13
3303,87bc3646e16ecd2b9628e6bda9b62646,3629.12,2024-08-08
10941,87bc3646e16ecd2b9628e6bda9b62646,59.4,2024-02-28
8153,f0b96e0da5dbeaabe57fc5f662738413,3010.64,2024-06-27
2808,2d95128edc763ecd05b9071d545926aa,3227.94,2024-06-15
13512,2d95128edc763ecd05b9071d545926aa,556.64,2024-05-06
3727,b51f392d3d8cea4e4d22efbc6b081d1b,1211.7,2024-05-06
3681,09f28a111b008f87ac8382429624c2a9,2035.56,2024-05-08
10635,09f28a111b008f87ac8382429624c2a9,1877.61,2024-01-12
5022,73aee2330b8bbe856c74e3da04ad7900,6027.8,2023-12-12
14356,73aee2330b8bbe856c74e3da04ad7900,7591.59,2024-08-29
1349,dff68fc8da01df033a020b15776c5847,2235.85,2024-02-27
14876,dff68fc8da01df033a020b15776c5847,179.66,2024-09-12
9303,0e1a6fd4ee77209da27d7b768330faac,277.3,2024-01-22
177,5430229422da646f30e9bbdba4388a49,4294.69,2024-03-20
6815,5af38c7aab7a96ba1a5d4b74ab7513c3,558.48,2024-01-15
6485,60453aa5474fddd5d947d0637893a75e,401.46,2024-08-28
11637,60453aa5474fddd5d947d0637893a75e,2036.01,2023-11-17
5595,6bbb474a0a765ce095587a3ce2a921f6,419.01,2024-09-04
11424,6bbb474a0a765ce095587a3ce2a921f6,2157.3,2024-10-10
9152,8cd73d1581b7458a96c0ae1ecc8290e1,2179.65,2024-04-10
10349,8cd73d1581b7458a96c0ae1ecc8290e1,4727.16,2024-06-08
9000,0fd5385ee988b94509bd6c707d40d6fb,1452.78,2024-10-21
7162,464e8a83e02c0947c81cfd4dfec620d8,6822.63,2024-03-03
13912,464e8a83e02c0947c81cfd4dfec620d8,525.44,2024-04-27
6938,7615be03f6481710519a38e55afdd56c,205.47,2024-01-12
924,e03c49257ffcc1a563e126217a81c632,672.63,2024-04-11
14338,e03c49257ffcc1a563e126217a81c632,1033.56,2023-11-29
7528,6df37b8e947828f920e413933760c084,462.82,2024-08-19
13837,6df37b8e947828f920e413933760c084,682.74,2023-12-29
7672,96d2c1b399843cb1d8cbc99bf7df6623,1989.6,2024-09-14
5948,eb647885398384f94c2f033817ec4528,1497.45,2024-09-24
13576,eb647885398384f94c2f033817ec4528,1271.68,2024-05-21
8972,75e867347c45233160b667ec9a901e71,1491.88,2024-02-03
14644,75e867347c45233160b667ec9a901e71,4390.3,2024-07-25
7965,2b0ab6e1b961b77795ab691474f4c261,1205.44,2024-08-04
3896,8f240067021025545d9cd929b8fe6529,1531.48,2024-04-04
12541,8f240067021025545d9cd929b8fe6529,497.94,2024-08-18
5107,e9bc51a45e7577a16c64213541b38258,6506.78,2024-01-07
