review_unique_id,unified_product_id,unified_customer_id,rating,review_text,review_date,source_store
5d616dd38211ebb5d6ec52986674b6e4,942714a0e77b6d95082d5ec5482ecb75,942714a0e77b6d95082d5ec5482ecb75,1,"Not what I expected, but still decent.",2024-07-31,old store
5d616dd38211ebb5d6ec52986674b6e4,ad59f1a468fb6678e11d9977ce0b214d,942714a0e77b6d95082d5ec5482ecb75,1,"Not what I expected, but still decent.",2024-07-31,old store
ef50c335cca9f340bde656363ebd02fd,96be8015fe7e8fae93d0fb1986bbc878,942714a0e77b6d95082d5ec5482ecb75,1,"Not what I expected, but still decent.",2024-05-03,old store
0f49c89d1e7298bb9930789c8ed59d48,de6d66e859e605be6446d98d7a654e4b,de6d66e859e605be6446d98d7a654e4b,1,"Excellent quality, would buy again.",2024-05-31,old store
0f49c89d1e7298bb9930789c8ed59d48,095e3b8f2459d3a1644a68e363f32f84,de6d66e859e605be6446d98d7a654e4b,1,"Excellent quality, would buy again.",2024-05-31,old store
46ba9f2a6976570b0353203ec4474217,9876f9e5e53154452bfa2b58ed7726ff,de6d66e859e605be6446d98d7a654e4b,1,"Excellent quality, would buy again.",2024-07-15,old store
298923c8190045e91288b430794814c4,81564cd29106e94f2ef650a5e9621393,e326bde9b8f77e62667a934156911bfa,1,The product arrived late but works well.,2024-04-22,old store
08fe2621d8e716b02ec0da35256a998d,e326bde9b8f77e62667a934156911bfa,e326bde9b8f77e62667a934156911bfa,1,The product arrived late but works well.,2024-05-15,old store
08fe2621d8e716b02ec0da35256a998d,e2836ecf678f42836732b177e2930d5d,e326bde9b8f77e62667a934156911bfa,1,The product arrived late but works well.,2024-05-15,old store
839ab46820b524afda05122893c2fe8e,e1e252818c845f3e65dd1ece2bd53e48,f3651389a9847734ecd7c3affa58ccef,1,Good value for the price.,2023-12-25,old store
f90f2aca5c640289d0a29417bcb63a37,f3651389a9847734ecd7c3affa58ccef,f3651389a9847734ecd7c3affa58ccef,1,Good value for the price.,2024-08-21,old store
f90f2aca5c640289d0a29417bcb63a37,8fdc8c765f310aa59ca3116748cc930f,f3651389a9847734ecd7c3affa58ccef,1,Good value for the price.,2024-08-21,old store
c86a7ee3d8ef0b551ed58e354a836f2b,ee5a126a797d5fe2176d311e5050d982,ee5a126a797d5fe2176d311e5050d982,1,"The item broke after a week, not happy.",2024-07-15,old store
c86a7ee3d8ef0b551ed58e354a836f2b,b426094d42bc80eb6c2de1874f99fc8a,ee5a126a797d5fe2176d311e5050d982,1,"The item broke after a week, not happy.",2024-07-15,old store
a01a0380ca3c61428c26a231f0e49a09,a5b0a3772ab475f3f01394f3069ae75a,ee5a126a797d5fe2176d311e5050d982,1,"The item broke after a week, not happy.",2024-04-05,old store
9f53d83ec0691550f7d2507d57f4f5a2,e7d2ab9b2024a6d578a848a8aac206eb,e7d2ab9b2024a6d578a848a8aac206eb,1,Nice design but functionality is lacking.,2024-07-08,old store
